Stats of reconstructed arrays at lod: 0
    RMS: 1.05252, max error: 47.9209
    RMS: 1.05246, max error: 41.1063
    RMS: 0.953842, max error: 35.4091
    RMS: 0.954461, max error: 34.762
    RMS: 1.00266, max error: 74.4447
    RMS: 1.00436, max error: 83.7914
    RMS: 1.0691, max error: 85.1427
    RMS: 1.06889, max error: 68.1616
    RMS: 1.0699, max error: 47.2333
    RMS: 1.06052, max error: 43.5639
    RMS: 1.11115, max error: 50.2742
    RMS: 1.05714, max error: 72.8711


Stats of reconstructed arrays at lod: 5
    RMS: 0.00831152, max error: 0.078848
    RMS: 0.00747728, max error: 0.0674925
    RMS: 0.00695092, max error: 0.0638785
    RMS: 0.00661832, max error: 0.0617973
    RMS: 0.00631647, max error: 0.0609286
    RMS: 0.0060638, max error: 0.0555918
    RMS: 0.00584718, max error: 0.055241
    RMS: 0.00571934, max error: 0.0522016
    RMS: 0.00564417, max error: 0.0512739
    RMS: 0.00551376, max error: 0.0493901
    RMS: 0.00532961, max error: 0.0491415
    RMS: 0.00509717, max error: 0.0486303
    RMS: 0.00484736, max error: 0.0425112
    RMS: 0.00460907, max error: 0.0432993
    RMS: 0.00429613, max error: 0.0421236
    RMS: 0.0039833, max error: 0.035682
Stats of arrays using timer interval compression at lod: 5
    RMS: 1.38234, max error: 93.0536
    RMS: 1.45266, max error: 86.2203
    RMS: 1.1781, max error: 159.21
    RMS: 1.18421, max error: 85.3717
    RMS: 1.04968, max error: 44.8397
    RMS: 1.05129, max error: 40.0119
    RMS: 0.952257, max error: 34.8115
    RMS: 0.953201, max error: 34.8161
    RMS: 1.00152, max error: 77.9621
    RMS: 1.00226, max error: 79.5137
    RMS: 1.06786, max error: 77.1781
    RMS: 1.06713, max error: 73.1452
    RMS: 1.06817, max error: 47.5462
    RMS: 1.05858, max error: 43.0234
    RMS: 1.10944, max error: 49.4603
    RMS: 1.05557, max error: 73.249


Stats of reconstructed arrays at lod: 6
    RMS: 0.00165752, max error: 0.0128367
    RMS: 0.00153295, max error: 0.0125204
    RMS: 0.00142674, max error: 0.0107615
    RMS: 0.00136587, max error: 0.0107904
    RMS: 0.00132154, max error: 0.0101999
    RMS: 0.00127914, max error: 0.0100089
    RMS: 0.00124139, max error: 0.0102804
    RMS: 0.00120726, max error: 0.00911641
    RMS: 0.00119054, max error: 0.00951195
    RMS: 0.00115899, max error: 0.00926405
    RMS: 0.00110123, max error: 0.00800031
    RMS: 0.00104633, max error: 0.00836909
    RMS: 0.000982802, max error: 0.00754452
    RMS: 0.000939542, max error: 0.00739336
    RMS: 0.000851074, max error: 0.00710426
    RMS: 0.000785924, max error: 0.00617564
Stats of arrays using timer interval compression at lod: 6
    RMS: 1.37336, max error: 81.1729
    RMS: 1.44862, max error: 84.3896
    RMS: 1.17231, max error: 121.386
    RMS: 1.18238, max error: 122.04
    RMS: 1.04641, max error: 40.1448
    RMS: 1.04936, max error: 39.5493
    RMS: 0.9501, max error: 33.8515
    RMS: 0.950918, max error: 34.252
    RMS: 0.999699, max error: 76.2854
    RMS: 0.999853, max error: 77.3725
    RMS: 1.06592, max error: 75.6753
    RMS: 1.06535, max error: 74.5045
    RMS: 1.06624, max error: 43.1138
    RMS: 1.05595, max error: 42.2825
    RMS: 1.10763, max error: 53.4398
    RMS: 1.04952, max error: 51.498
