Stats of reconstructed arrays at lod: 6
        RMS: 0.699367, max error: 95.7137
        RMS: 0.609965, max error: 57.2307
        RMS: 0.554442, max error: 148.995
        RMS: 0.526079, max error: 46.187
        RMS: 0.502488, max error: 38.5606
        RMS: 0.47374, max error: 31.4924
        RMS: 0.455175, max error: 28.5042
        RMS: 0.455689, max error: 24.1533
        RMS: 0.452326, max error: 29.6331
        RMS: 0.463596, max error: 49.0999
        RMS: 0.453001, max error: 42.9987
        RMS: 0.450553, max error: 31.1323
        RMS: 0.462221, max error: 38.4348
        RMS: 0.462926, max error: 35.4645
        RMS: 0.470928, max error: 43.7698
        RMS: 0.496239, max error: 64.5858


Stats of reconstructed arrays at lod: 1
        RMS: 0.237513, max error: 4.39849
        RMS: 0.210142, max error: 3.68236
        RMS: 0.194569, max error: 3.08553
        RMS: 0.18433, max error: 3.09765
        RMS: 0.173517, max error: 2.73503
        RMS: 0.164496, max error: 2.77556
        RMS: 0.15833, max error: 2.42566
        RMS: 0.156061, max error: 2.06846
        RMS: 0.154768, max error: 2.66052
        RMS: 0.153607, max error: 2.49336
        RMS: 0.150895, max error: 2.4219
        RMS: 0.147717, max error: 2.25341
        RMS: 0.145387, max error: 2.22801
        RMS: 0.142134, max error: 2.18632
        RMS: 0.13968, max error: 2.61397
        RMS: 0.135478, max error: 2.238
Stats of arrays using timer interval compression at lod: 1
        RMS: 0.849456, max error: 116.939
        RMS: 0.742248, max error: 74.1399
        RMS: 0.680846, max error: 201.683
        RMS: 0.62421, max error: 66.2973
        RMS: 0.58684, max error: 44.9678
        RMS: 0.54351, max error: 35.6363
        RMS: 0.51696, max error: 31.7579
        RMS: 0.511773, max error: 28.4749
        RMS: 0.509275, max error: 41.2347
        RMS: 0.543182, max error: 74.2463
        RMS: 0.523222, max error: 60.0594
        RMS: 0.526472, max error: 46.2655
        RMS: 0.536356, max error: 46.85
        RMS: 0.532795, max error: 39.488
        RMS: 0.543805, max error: 45.5154
        RMS: 0.561005, max error: 66.2191


